,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,GlobalSales,Global_Sales,player_demographic
37,38,Call of Duty: Modern Warfare 3,PS3,2011-01-01,Shooter,Activision,5.54,5.82,0.49,1.62,13.46,0.1625770578991902,Hardcore
38,39,Grand Theft Auto III,PS2,2001-01-01,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,0.1582255530037471,Hardcore
39,40,Super Smash Bros. Brawl,Wii,2008-01-01,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04,0.1575003021878399,General
40,41,Call of Duty: Black Ops,PS3,2010-01-01,Shooter,Activision,5.98,4.44,0.48,1.83,12.73,0.1537531729723196,Hardcore
41,42,Animal Crossing: Wild World,DS,2005-01-01,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27,0.1481929167170313,General
42,43,Mario Kart 7,3DS,2011-01-01,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21,0.1474676659011241,All Ages
43,44,Halo 3,X360,2007-01-01,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14,0.1466215399492325,Hardcore
44,45,Grand Theft Auto V,PS4,2014-01-01,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98,0.14468753777348,Hardcore
45,46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009-01-01,Action,Nintendo,4.4,2.77,3.96,0.77,11.9,0.1437205366856038,Hardcore
46,47,Super Mario 64,N64,1996-01-01,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,0.1435996615496192,General
47,48,Gran Turismo 4,PS2,2004-01-01,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,0.1408195334219751,All Ages
48,49,Super Mario Galaxy,Wii,2007-01-01,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52,0.1391272815181917,General
49,50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014-01-01,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33,0.1368306539344857,General
50,51,Super Mario Land 2: 6 Golden Coins,GB,1992-01-01,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,0.1350175268947178,Casual
51,52,Grand Theft Auto IV,X360,2008-01-01,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02,0.1330835247189653,Hardcore
52,53,Gran Turismo,PS,1997-01-01,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,0.1322373987670736,All Ages
53,54,Super Mario 3D Land,3DS,2011-01-01,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79,0.1303033965913211,General
54,55,Gran Turismo 5,PS3,2010-01-01,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77,0.1300616463193521,All Ages
55,56,Call of Duty: Modern Warfare 2,PS3,2009-01-01,Shooter,Activision,4.99,3.69,0.38,1.63,10.69,0.1290946452314759,Hardcore
56,57,Grand Theft Auto IV,PS3,2008-01-01,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57,0.1276441435996615,Hardcore
57,58,Super Mario All-Stars,SNES,1993-01-01,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,0.1274023933276925,General
58,59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004-01-01,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,0.1266771425117853,General
59,60,Super Mario 64,DS,2004-01-01,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42,0.1258310165598936,General
60,61,Just Dance 3,Wii,2011-01-01,Misc,Ubisoft,6.05,3.15,0.0,1.07,10.26,0.1238970143841412,General
61,62,Call of Duty: Ghosts,X360,2013-01-01,Shooter,Activision,6.72,2.63,0.04,0.82,10.21,0.1232926387042185,Hardcore
62,63,Halo: Reach,X360,2010-01-01,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,0.1193037592167291,Hardcore
63,64,Mario Kart 64,N64,1996-01-01,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,0.1191828840807446,All Ages
64,65,New Super Mario Bros. 2,3DS,2012-01-01,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82,0.1185785084008219,General
65,66,Halo 4,X360,2012-01-01,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,0.1178532575849148,Hardcore
66,67,Final Fantasy VII,PS,1997-01-01,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,0.1173697570409767,General
67,68,Call of Duty: Ghosts,PS3,2013-01-01,Shooter,Activision,4.09,3.73,0.38,1.38,9.59,0.1157983802731778,Hardcore
68,69,Just Dance 2,Wii,2010-01-01,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52,0.1149522543212861,General
69,70,Gran Turismo 2,PS,1999-01-01,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,0.1145896289133325,All Ages
70,71,Call of Duty 4: Modern Warfare,X360,2007-01-01,Shooter,Activision,5.91,2.38,0.13,0.9,9.32,0.1125347516015955,Hardcore
71,72,Donkey Kong Country,SNES,1994-01-01,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,0.1122930013296265,General
72,73,Minecraft,X360,2013-01-01,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2,0.1110842499697812,General
73,74,Animal Crossing: New Leaf,3DS,2012-01-01,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09,0.1097546234739514,General
74,75,Mario Party DS,DS,2007-01-01,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02,0.1089084975220597,General
75,76,The Elder Scrolls V: Skyrim,X360,2011-01-01,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,0.1067327450743382,General
76,77,Super Mario Kart,SNES,1992-01-01,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,0.105765743986462,All Ages
77,78,FIFA 16,PS4,2015-01-01,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49,0.1025021153148797,General
78,79,Wii Party,Wii,2010-01-01,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49,0.1025021153148797,General
79,80,Halo 2,XB,2004-01-01,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,0.1025021153148797,Hardcore
80,81,Mario Party 8,Wii,2007-01-01,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42,0.101655989362988,General
81,82,Pokemon Black 2/Pokemon White 2,DS,2012-01-01,Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33,0.1005681131391273,General
82,83,FIFA Soccer 13,PS3,2012-01-01,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24,0.0994802369152665,Hardcore
83,84,The Sims 3,PC,2009-01-01,Simulation,Electronic Arts,0.98,6.42,0.0,0.71,8.11,0.0979088601474676,General
84,85,GoldenEye 007,N64,1997-01-01,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,0.0976671098754986,Hardcore
85,86,Mario & Sonic at the Olympic Games,Wii,2007-01-01,Sports,Sega,2.58,3.9,0.66,0.91,8.06,0.097304484467545,General
86,87,Final Fantasy X,PS2,2001-01-01,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,0.0971836093315605,General
87,88,Final Fantasy VIII,PS,1999-01-01,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,0.0948869817478545,General
88,89,Pokémon Platinum Version,DS,2008-01-01,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84,0.0946452314758854,General
89,90,Pac-Man,2600,1982-01-01,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,0.0942826060679318,Casual
90,91,Grand Theft Auto: Liberty City Stories,PSP,2005-01-01,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72,0.0931947298440711,Hardcore
91,92,Super Mario Galaxy 2,Wii,2010-01-01,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69,0.0928321044361175,General
92,93,Star Wars Battlefront (2015),PS4,2015-01-01,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67,0.0925903541641484,Hardcore
93,94,Call of Duty: Advanced Warfare,PS4,2014-01-01,Shooter,Activision,2.8,3.3,0.14,1.37,7.6,0.0917442282122567,Hardcore
94,95,The Legend of Zelda: Ocarina of Time,N64,1998-01-01,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,0.0917442282122567,Hardcore
95,96,Crash Bandicoot 2: Cortex Strikes Back,PS,1997-01-01,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,0.0915024779402877,General
96,97,Super Mario Bros. 2,NES,1988-01-01,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,0.0900519763084733,General
97,98,Super Smash Bros. for Wii U and 3DS,3DS,2014-01-01,Fighting,Nintendo,3.24,1.35,2.42,0.43,7.45,0.0899311011724888,General
98,99,Call of Duty: World at War,X360,2008-01-01,Shooter,Activision,4.79,1.9,0.0,0.69,7.37,0.0889641000846126,Hardcore
99,100,Battlefield 3,X360,2011-01-01,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34,0.088601474676659,Hardcore
100,101,The Legend of Zelda: Twilight Princess,Wii,2006-01-01,Action,Nintendo,3.83,2.19,0.6,0.7,7.31,0.0882388492687054,Hardcore
101,102,Call of Duty: Black Ops 3,XOne,2015-01-01,Shooter,Activision,4.52,2.09,0.01,0.67,7.3,0.0881179741327209,Hardcore
102,103,Just Dance,Wii,2009-01-01,Misc,Ubisoft,3.51,3.03,0.0,0.73,7.27,0.0877553487247673,General
103,104,Battlefield 3,PS3,2011-01-01,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23,0.0872718481808292,Hardcore
104,105,Need for Speed Underground,PS2,2003-01-01,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,0.0869092227728756,All Ages
105,106,Tekken 3,PS,1998-01-01,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,0.0864257222289375,General
106,107,Crash Bandicoot 3: Warped,PS,1998-01-01,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,0.0860630968209839,General
107,108,Super Smash Bros. Melee,GC,2001-01-01,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,0.0853378460050767,General
108,109,Mario Kart 8,WiiU,2014-01-01,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96,0.0840082195092469,All Ages
109,110,Fallout 4,PS4,2015-01-01,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96,0.0840082195092469,General
110,111,Mario Kart: Double Dash!!,GC,2003-01-01,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,0.0838873443732624,All Ages
111,112,Just Dance 4,Wii,2012-01-01,Misc,Ubisoft,4.14,2.21,0.0,0.56,6.91,0.0834038438293243,General
112,113,FIFA 14,PS3,2013-01-01,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9,0.0832829686933398,General
113,114,Need for Speed Underground 2,PS2,2004-01-01,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,0.0832829686933398,All Ages
114,115,Medal of Honor: Frontline,PS2,2002-01-01,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,0.0824368427414481,Hardcore
115,116,Uncharted 3: Drake's Deception,PS3,2011-01-01,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83,0.0824368427414481,Hardcore
116,117,Crash Bandicoot,PS,1996-01-01,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,0.0823159676054635,General
117,118,Zumba Fitness,Wii,2010-01-01,Sports,505 Games,3.5,2.64,0.0,0.67,6.81,0.082195092469479,General
118,119,Gears of War 2,X360,2008-01-01,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76,0.0815907167895564,Hardcore
119,120,Uncharted 2: Among Thieves,PS3,2009-01-01,Action,Sony Computer Entertainment,3.27,2.25,0.21,1.0,6.73,0.0812280913816028,Hardcore
120,121,Call of Duty 4: Modern Warfare,PS3,2007-01-01,Shooter,Activision,3.1,2.3,0.28,1.04,6.72,0.0811072162456183,Hardcore
121,122,FIFA 12,PS3,2011-01-01,Sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69,0.0807445908376647,General
122,123,Big Brain Academy,DS,2005-01-01,Misc,Nintendo,1.67,2.78,1.6,0.62,6.67,0.0805028405656956,General
123,124,Red Dead Redemption,PS3,2010-01-01,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6,0.0796567146138039,Hardcore
124,125,FIFA 15,PS4,2014-01-01,Sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59,0.0795358394778194,General
125,126,Donkey Kong Country Returns,Wii,2010-01-01,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59,0.0795358394778194,General
126,127,The Elder Scrolls V: Skyrim,PS3,2011-01-01,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56,0.0791732140698658,General
127,128,The Legend of Zelda,NES,1986-01-01,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,0.0785688383899432,Hardcore
128,129,Assassin's Creed III,PS3,2012-01-01,Action,Ubisoft,2.64,2.56,0.16,1.14,6.5,0.0784479632539586,Hardcore
129,130,Halo: Combat Evolved,XB,2001-01-01,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,0.0776018373020669,Hardcore
130,131,Pokémon Emerald Version,GBA,2004-01-01,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,0.0773600870300979,General
131,132,Kingdom Hearts,PS2,2002-01-01,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,0.0772392118941134,General
132,133,Pokémon Crystal Version,GB,2000-01-01,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39,0.0771183367581288,General
133,134,Halo 3: ODST,X360,2009-01-01,Shooter,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36,0.0767557113501753,Hardcore
134,135,Red Dead Redemption,X360,2010-01-01,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34,0.0765139610782062,Hardcore
135,136,Super Mario Sunshine,GC,2002-01-01,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,0.0761513356702526,General
136,137,Street Fighter II: The World Warrior,SNES,1992-01-01,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3,0.0760304605342681,General
137,138,World of Warcraft,PC,2004-01-01,Role-Playing,Activision,0.07,6.21,0.0,0.0,6.28,0.075788710262299,General
138,139,Driver,PS,1999-01-01,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,0.0756678351263145,Hardcore
139,140,Kinect Sports,X360,2010-01-01,Sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24,0.0753052097183609,General
140,141,Gears of War 3,X360,2011-01-01,Shooter,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24,0.0753052097183609,Hardcore
141,142,Gears of War,X360,2006-01-01,Shooter,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11,0.0737338329505621,Hardcore
142,143,Metal Gear Solid 2: Sons of Liberty,PS2,2001-01-01,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,0.0730085821346549,Hardcore
143,144,Sonic the Hedgehog 2,GEN,1992-01-01,Platform,Sega,4.47,1.2,0.16,0.19,6.03,0.0727668318626858,General
144,145,Metal Gear Solid 4: Guns of the Patriots,PS3,2008-01-01,Action,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03,0.0727668318626858,Hardcore
145,146,Metal Gear Solid,PS,1998-01-01,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,0.0727668318626858,Hardcore
146,147,The Last of Us,PS3,2013-01-01,Action,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99,0.0722833313187477,Hardcore
147,148,Final Fantasy XII,PS2,2006-01-01,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95,0.0717998307748096,General
148,149,LittleBigPlanet,PS3,2008-01-01,Platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92,0.071437205366856,General
149,150,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009-01-01,Role-Playing,Nintendo,0.66,0.69,4.35,0.15,5.84,0.0704702042789798,General
150,151,LEGO Star Wars: The Complete Saga,Wii,2007-01-01,Action,LucasArts,3.66,1.63,0.0,0.53,5.83,0.0703493291429953,Hardcore
151,152,Resident Evil 2,PS,1998-01-01,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,0.0702284540070107,Hardcore
152,153,Tekken 2,PS,1996-01-01,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,0.0692614529191345,General
153,154,Cooking Mama,DS,2006-01-01,Simulation,505 Games,3.13,1.94,0.07,0.58,5.72,0.0690197026471654,General
154,155,Destiny,PS4,2014-01-01,Shooter,Activision,2.49,2.05,0.16,0.96,5.65,0.0681735766952738,Hardcore
155,156,Tetris,NES,1988-01-01,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58,0.0673274507433821,Casual
156,157,Assassin's Creed II,PS3,2009-01-01,Action,Ubisoft,2.54,1.95,0.21,0.87,5.57,0.0672065756073975,Hardcore
157,158,Super Smash Bros.,N64,1999-01-01,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,0.0669648253354285,General
158,159,Assassin's Creed,X360,2007-01-01,Adventure,Ubisoft,3.28,1.65,0.07,0.55,5.55,0.0669648253354285,Casual
159,160,Batman: Arkham City,PS3,2011-01-01,Action,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.53,0.0667230750634594,Hardcore
160,161,Forza Motorsport 3,X360,2009-01-01,Racing,Microsoft Game Studios,2.99,1.92,0.1,0.51,5.51,0.0664813247914904,All Ages
161,162,Monster Hunter Freedom Unite,PSP,2008-01-01,Role-Playing,Capcom,0.47,0.57,4.13,0.34,5.5,0.0663604496555058,General
162,163,Super Mario Advance,GBA,2001-01-01,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,0.0662395745195213,General
163,164,Mario Kart: Super Circuit,GBA,2001-01-01,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,0.0659978242475523,All Ages
164,165,Super Mario World,GBA,2001-01-01,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46,0.0658769491115677,General
165,166,Pokemon Stadium,N64,1999-01-01,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45,0.0657560739755832,General
166,167,Call of Duty: World at War,PS3,2008-01-01,Shooter,Activision,2.72,1.87,0.0,0.84,5.43,0.0655143237036141,Hardcore
167,168,Crash Bandicoot: The Wrath of Cortex,PS2,2001-01-01,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,0.0653934485676296,General
168,169,Minecraft,PS3,2014-01-01,Misc,Sony Computer Entertainment,1.97,2.51,0.0,0.94,5.42,0.0653934485676296,General
169,170,Final Fantasy XIII,PS3,2009-01-01,Role-Playing,Square Enix,1.74,1.24,1.87,0.52,5.36,0.0646681977517224,General
170,171,Dr. Mario,GB,1989-01-01,Puzzle,Nintendo,2.18,0.96,2.0,0.2,5.34,0.0644264474797534,Casual
171,172,Pokemon Pinball,GB,1999-01-01,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31,0.0640638220717998,General
172,173,Assassin's Creed III,X360,2012-01-01,Action,Ubisoft,3.13,1.71,0.03,0.44,5.3,0.0639429469358153,Hardcore
173,174,Final Fantasy IX,PS,2000-01-01,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,0.0639429469358153,General
174,175,Final Fantasy X-2,PS2,2003-01-01,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,0.0638220717998307,General
175,176,Donkey Kong 64,N64,1999-01-01,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27,0.0635803215278617,General
176,177,Assassin's Creed II,X360,2009-01-01,Action,Ubisoft,3.1,1.56,0.08,0.51,5.27,0.0635803215278617,Hardcore
177,178,Professor Layton and the Curious Village,DS,2007-01-01,Puzzle,Nintendo,1.22,2.48,1.03,0.52,5.26,0.0634594463918772,Casual
178,179,Tomb Raider II,PS,1997-01-01,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24,0.0632176961199081,Hardcore
179,181,Dragon Quest VIII: Journey of the Cursed King,PS2,2004-01-01,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21,0.0628550707119545,General
180,182,Diablo III,PC,2012-01-01,Role-Playing,Activision,2.43,2.15,0.0,0.62,5.2,0.06273419557597,General
181,183,Super Mario Bros. 3,GBA,2003-01-01,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2,0.06273419557597,General
182,184,New Super Mario Bros. U,WiiU,2012-01-01,Platform,Nintendo,2.32,1.3,1.27,0.31,5.19,0.0626133204399855,General
183,185,Super Mario Land 3: Wario Land,GB,1994-01-01,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19,0.0626133204399855,General
184,186,FIFA Soccer 13,X360,2012-01-01,Action,Electronic Arts,1.08,3.48,0.03,0.58,5.18,0.0624924453040009,Hardcore
185,187,The Legend of Zelda: Phantom Hourglass,DS,2007-01-01,Action,Nintendo,1.9,1.83,0.95,0.49,5.17,0.0623715701680164,Hardcore
186,188,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995-01-01,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15,0.0621298198960474,General
187,189,Tomodachi Life,3DS,2013-01-01,Simulation,Nintendo,0.96,2.02,1.89,0.28,5.15,0.0621298198960474,General
188,190,Mario & Sonic at the Olympic Games,DS,2008-01-01,Sports,Sega,1.64,2.48,0.44,0.58,5.14,0.0620089447600628,General
189,191,Medal of Honor: Rising Sun,PS2,2003-01-01,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13,0.0618880696240783,Hardcore
190,192,Kirby's Dream Land,GB,1992-01-01,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13,0.0618880696240783,General
191,193,Fable III,X360,2010-01-01,Role-Playing,Microsoft Game Studios,3.59,1.11,0.05,0.38,5.13,0.0618880696240783,General
192,194,Call of Duty: Advanced Warfare,XOne,2014-01-01,Shooter,Activision,3.21,1.53,0.01,0.38,5.13,0.0618880696240783,Hardcore
193,195,Microsoft Flight Simulator,PC,1996-01-01,Simulation,Microsoft Game Studios,3.22,1.69,0.0,0.2,5.12,0.0617671944880938,General
